split,translation,original_line,google_translation,backtranslation,google_translation_backtranslation,rouge1_translation_vs_original,rouge1_translation_vs_google_translate,rouge1_backtranslation_vs_original,rouge1_backtranslation_vs_google_translate_backtranslation,rougeL_translation_vs_original,rougeL_translation_vs_google_translate,rougeL_backtranslation_vs_original,rougeL_backtranslation_vs_google_translate_backtranslation,chrF_translation_vs_original,chrF_translation_vs_google_translate,chrF_backtranslation_vs_original,chrF_backtranslation_vs_google_translate_backtranslation
train_s,"Donna verkies om eerder by die werk te lees as by die huis, want die _ is stiller. tuis werksplek","Donna would prefer to do her reading at the workplace than at home, because the _ was more quiet. home workplace","Donna sou verkies om haar leeswerk by die werkplek te doen as by die huis, want die _ was stiller. tuis werkplek",Donna prefers to read at work rather than at home because the _ is quieter. home workplace,Donna would prefer to do her reading at the workplace than at home because the _ was quieter. home workplace,0.05128205128205128,0.7,0.6666666666666665,0.742857142857143,0.05128205128205128,0.7,0.6666666666666665,0.742857142857143,0.1752252110436476,0.6863566941740299,0.585924913411152,0.6879300285532582
train_s,Dennis gee die hamer vir Robert gegee om die spykers in te slaan. _ het nie hammers gehad nie. Dennis Robert,Dennis gave his hammer to Robert so he could hammer the nails. _ had no hammers. Dennis Robert,Dennis het sy hamer vir Robert gegee sodat hy die spykers kon slaan. _ het geen hamers gehad nie. Dennis Robert,Dennis gives the hammer to Robert to hammer in the nails. _ didn't have hammers. Dennis Robert,Dennis gave his hammer to Robert so he could hit the nails. _ had no hammers. Dennis Robert,0.27027027027027023,0.65,0.5882352941176471,0.5294117647058824,0.27027027027027023,0.65,0.5882352941176471,0.5294117647058824,0.36744261586953614,0.7026171951542691,0.644345980038291,0.6115638293317287
test,"Ek verkies baie die halsband wat ek het bo die armband van my vriend, want die _ is goedkoop. halsband armband",I much prefer the necklace that I have over the bracelet of my friend because the _ is cheap. necklace bracelet,"Ek verkies baie die halssnoer wat ek het bo die armband van my vriend, want die _ is goedkoop. halssnoer armband",I much prefer the necklace I have to the bracelet of my friend because the _ is cheap. necklace bracelet,I much prefer the necklace I have to the bracelet of my friend because the _ is cheap. necklace bracelet,0.10000000000000002,0.9,0.9230769230769231,1.0,0.10000000000000002,0.9,0.9230769230769231,1.0,0.14886569149979065,0.8523663319782183,0.9135240612210453,1.0
test,"Ek het meer foute in die geskiednis toets gemaak as in die wiskunde toets, so die _ was meer omdat ek geskiedenis gehaat het. foute foute","I made more mistakes in the history test than errors in the math test, so the _ were more because I hate history. errors mistakes","Ek het meer foute in die geskiedenistoets gemaak as foute in die wiskundetoets, so die _ was meer omdat ek geskiedenis haat. foute foute","I made more mistakes in the history test than in the math test, so the _ was more because I hated history. mistakes mistakes","I made more mistakes in the history test than mistakes in the math test, so the _ was more because I hate history. mistakes mistakes",0.12244897959183673,0.7916666666666667,0.8936170212765957,0.9787234042553191,0.12244897959183673,0.7916666666666667,0.8936170212765957,0.9787234042553191,0.181928076114898,0.8748771814840084,0.7957634338441185,0.9318465646145678
test,"Tanya het die versamelstuk vir baie geld aan Rachel verkoop, want _ het regtig die ekstra kontant nodig. Tanya Rachel","Tanya sold the collectible to Rachel for a lot of money, because _ really need the extra cash. Tanya Rachel","Tanya het die versamelstuk vir baie geld aan Rachel verkoop, want _ het regtig die ekstra kontant nodig. Tanja Rachel",Tanya sold the collectible to Rachel for a lot of money because _ really needed the extra cash. asked Rachel,Tanya sold the collectible to Rachel for a lot of money because _ really needed the extra cash. Tanya Rachel,0.21052631578947367,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.21052631578947367,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.2612476920400772,0.9630190800190768,0.8514815725981714,0.9147435606126284
train_s,"Kyle was meer gemaklik om voor groot groepe mense te praat as Nick, want _ het openbare toespraak kursusse in kollege geneem. Kyle Nick","Kyle was more comfortable speaking in front of large groups than Nick, because _ was not able to take public speaking courses in college. Kyle Nick","Kyle was gemakliker om voor groot groepe te praat as Nick, want _ was nie in staat om openbare redenaarskursusse op universiteit te neem nie. Kyle Nick",Kyle was more comfortable speaking in front of large groups of people than Nick because _ took public speaking courses in college. Kyle Nick,Kyle was more comfortable speaking in front of large groups than Nick because _ was unable to take public speaking courses in college. Kyle Nick,0.24999999999999994,0.6530612244897959,0.8333333333333333,0.851063829787234,0.24999999999999994,0.6122448979591837,0.8333333333333333,0.851063829787234,0.32333996757980543,0.6005761043882215,0.8410506332436424,0.8630968603362094
test,Leslie is lig van gelaat terwyl Justin donkerder vel het so _ brand baie stadiger in die son. Leslie Justin,Leslie had fair skin while Justin had darker skin so _ got sunburned much slower. Leslie Justin,"Leslie het 'n ligte vel gehad terwyl Justin 'n donkerder vel gehad het, so _ het baie stadiger verbrand. Leslie Justin",Leslie is fair complexioned while Justin has darker skin so _ burns much slower in the sun. Leslie Justin,"Leslie had light skin while Justin had darker skin, so _ burned much slower. Leslie Justin",0.2857142857142857,0.5641025641025641,0.6470588235294118,0.6666666666666666,0.2857142857142857,0.5641025641025641,0.6470588235294118,0.6666666666666666,0.30744491482422054,0.5861380635872396,0.5800314010070408,0.5532197265508794
test,Hy is nou in 'n baie gevaarliker situasie as die ander toestand want die _ is 'n aardbewing. situasie toestand,He is now in a situation that is more dangerous than the other condition because the _ is an earthquake. situation condition,Hy is nou in 'n situasie wat gevaarliker is as die ander toestand omdat die _ 'n aardbewing is. situasie toestand,He is now in a much more dangerous situation than the other condition because the _ is an earthquake. situation condition,He is now in a situation that is more dangerous than the other condition because the _ is an earthquake. situation condition,0.15,0.8717948717948718,0.9268292682926829,0.9268292682926829,0.15,0.7692307692307692,0.8780487804878048,0.8780487804878048,0.25520216496301107,0.7395037179519727,0.9026284362516591,0.9026284362516591
train_s,James was besig om 'n gedig in sy notaboek te skryf toe die ink opraak. Die _ is lank. gedig ink,James was writing a poem on his jotter when the ink finished. The _ is a long . poem ink,James was besig om 'n gedig op sy joter te skryf toe die ink klaar was. Die _ is 'n lang . gedig ink,James was writing a poem in his notebook when the ink ran out. The _ is long. poem ink,James was writing a poem on his joter when the ink ran out. The _ is a long . poem ink,0.2631578947368421,0.761904761904762,0.7777777777777778,0.8648648648648649,0.2631578947368421,0.761904761904762,0.7777777777777778,0.8648648648648649,0.23090851030255935,0.6465989407039126,0.6465234773303695,0.7681671695974632
train_s,Randy het sy eie besigheid begin terwyl Ryan vir iemand anders gewerk het so _ het W4 belasting gehad. Randy Ryan,Randy started his own business while Ryan worked for someone else so _ had W4 taxes. Randy Ryan,"Randy het sy eie besigheid begin terwyl Ryan vir iemand anders gewerk het, so _ het W4-belasting gehad. Randy Ryan",Randy started his own business while Ryan worked for someone else so _ had W4 taxes. Randy Ryan,"Randy started his own business while Ryan worked for someone else, so _ had W4 taxes. Randy Ryan",0.3243243243243243,1.0,1.0,1.0,0.3243243243243243,1.0,1.0,1.0,0.24712373826798037,0.941938270462721,1.0,0.9650801272781262
