split,translation,original_line,google_translation,backtranslation,google_translation_backtranslation,rouge1_translation_vs_original,rouge1_translation_vs_google_translate,rouge1_backtranslation_vs_original,rouge1_backtranslation_vs_google_translate_backtranslation,rougeL_translation_vs_original,rougeL_translation_vs_google_translate,rougeL_backtranslation_vs_original,rougeL_backtranslation_vs_google_translate_backtranslation,chrF_translation_vs_original,chrF_translation_vs_google_translate,chrF_backtranslation_vs_original,chrF_backtranslation_vs_google_translate_backtranslation
test,UJessica akazange asebenze izihlunu zabo ze-lat kwindawo yokuzivocavoca njengoPatricia ngoko _ wayenomqolo obanzi. UJessica UPatricia,Jessica didn't work their lat muscles at the gym like Patricia so _ had a wide back. Jessica Patricia,UJessica akazange asebenze izihlunu zabo ze-lat kwindawo yokuzivocavoca njengoPatricia ngoko _ wayenomqolo obanzi. UJessica Patricia,Jessica didn't work their lat muscles in the gym like Patricia did so _ she had a wider back. Jessica Patricia,Jessica didn't work their lat muscles in the gym like Patricia did so _ she had a wider back. Jessica Patricia,0.058823529411764705,0.9333333333333333,0.8500000000000001,1.0,0.058823529411764705,0.9333333333333333,0.8500000000000001,1.0,0.25011947659142064,0.9705687388009073,0.7934473309242205,1.0
test,"U-Ian wayesebenza naye olungileyo, ngokungafaniyo noWilliam. _ zange abuze abanye ukuba bafuna uncedo na. U-Ian UWilliam","Ian was a good co worker, unlike William. _ never asked others if they needed help. Ian William","U-Ian wayesebenza naye olungileyo, ngokungafaniyo noWilliam. _ zange abuze abanye ukuba bafuna uncedo na. Ian William","Ian was a good colleague, unlike William. _ never asked others if they needed help. Ian William","Ian was a good colleague, unlike William. _ never asked others if they needed help. Ian William",0.11764705882352941,0.9090909090909091,0.9090909090909091,1.0,0.11764705882352941,0.9090909090909091,0.9090909090909091,1.0,0.20955174833988355,0.929076169941831,0.8785140738939301,1.0
test,UJustin wayevuya ngethuba UBenjamin ebalekisa yaye u _ zange ayihambise kancinci imoto. UJustin UBenjamin,Justin was excited when Benjamin started to speed so _ did not slow the car down. Justin Benjamin,UJustin wayechulumancile xa uBenjamin eqalisa ukukhawulezisa ukuze _ angayithobi inqwelo-mafutha. Justin Benjamin,Justin was happy when Benjamin was racing and _ never slowed down the car. Justin Benjamin,Justin was excited when Benjamin started to accelerate so that _ he wouldn't slow down the car. Justin Benjamin,0.0,0.16,0.625,0.5882352941176471,0.0,0.16,0.5625,0.5882352941176471,0.28392741027611107,0.3899178634192108,0.5143276608021963,0.5911038024567847
test,"UNelson wayenendawo yangaphandle kwendlu ngeloxesha USamuel wayenencinci, ngenxa _ yayihlala kwindlu yakhe. UNelson USamuel","Nelson had a spacious outdoor patio, while Samuel only had a tiny balcony, because _ lived in an apartment. Nelson Samuel","UNelson wayenebala eliphangaleleyo elingaphandle, ngelixa uSamuel wayenebalcony encinci, kuba _ wayehlala kwiflethi. uNelson uSamuweli","Nelson had an outhouse at the time Samuel had a little one, because _ it lived in his house. Nelson Samuel","Nelson had a spacious outdoor patio, while Samuel had a small balcony, because he lived in an apartment. Nelson Samuel",0.0,0.23076923076923078,0.55,0.55,0.0,0.23076923076923078,0.5,0.5,0.2298340665354139,0.4849110063357001,0.4861664805483236,0.5072210792617765
test,Khange ndikwazi ukufaka le dessert esiswini sam kuba i _ ibigcwele kakhulu. dessert isisu,I was not able to fit the dessert in my tummy because the _ was very full. dessert tummy,Khange ndikwazi ukufaka le dessert esiswini sam kuba i_ ibigcwele kakhulu. isisu se dessert,I couldn't put this dessert in my stomach because _ was too full. dessert stomach,I couldn't put this dessert in my stomach because it was so full. dessert belly,0.1935483870967742,0.962962962962963,0.4848484848484848,0.8387096774193549,0.12903225806451615,0.888888888888889,0.4848484848484848,0.8387096774193549,0.24108479587507128,0.9283308246049545,0.4454261093958139,0.7812914244374091
dev,U-Ian ubedinga ukulungisa ispili kwaye u-Craig khange adinge ngokuba u _ ebedingana ngobude nomnikazi wemoto. u-Ian u-Craig,Ian needed to adjust the mirror and Craig did not because _ was the same height as the owner of the car. Ian Craig,UIan kwafuneka alungise isipili yaye uCraig akazange alungise kuba _ wayenobude obulinganayo nomnini wemoto. Ian Craig,Ian needed to fix the mirror and Craig didn't because _ he was having a long conversation with the owner of the car. Ian Craig,Ian had to fix the mirror and Craig didn't because _ he was the same height as the owner of the car. Ian Craig,0.18604651162790697,0.17142857142857143,0.6666666666666666,0.7755102040816326,0.18604651162790697,0.17142857142857143,0.6666666666666666,0.7755102040816326,0.16065759643777333,0.37184012579872316,0.6078474890599778,0.6705138844951001
dev,U Ian ubedinga ukulungisa ispili kwaye U Craig khange adinge ngongokuba u _ ebemfitshane kuno mnikazi we moto. U Ian U Craig,Ian needed to adjust the mirror and Craig did not because _ was shorter than the owner of the car. Ian Craig,UIan kwafuneka alungise isipili yaye uCraig akazange alungise kuba _ wayemfutshane kunomnini wemoto. Ian Craig,Ian needed to fix the mirror and Craig didn't need to because _ was shorter than the owner of the car. Ian Craig,Ian had to fix the mirror and Craig didn't because _ he was shorter than the owner of the car. Ian Craig,0.19047619047619047,0.11428571428571427,0.8181818181818182,0.888888888888889,0.19047619047619047,0.11428571428571427,0.8181818181818182,0.888888888888889,0.16872797101418424,0.40667145427499435,0.8265495360975402,0.8014636803208224
dev,"U Christine ebesiya kwindlu ka Jessica uyoku coca e kwi khitshi, ngongokuba u _ waye ngumntu onamandla. U Christine U Jessica","Christine was going to Jessica's house to do some cleaning in the kitchen, because _ was a energetic person. Christine Jessica","UChristine wayesiya kwaJessica ukuze acoce ekhitshini, kuba _ wayengumntu odlamkileyo. UChristine Jessica","Christine was going to Jessica's house to clean the kitchen, because she was a strong person. Christine Jessica","Christine used to go to Jessica's house to clean the kitchen, because _ she was a lively person. Christine Jessica",0.1951219512195122,0.06451612903225806,0.8500000000000001,0.8717948717948718,0.1951219512195122,0.06451612903225806,0.8500000000000001,0.8717948717948718,0.32152987267055083,0.530919739933226,0.8055727044388759,0.7754838361409266
test,Nkathi ezifumanela umdlwane. UWilliam wayefuna inja ilale kwicrethi. U-Ian uthe kumele kube nendlu yenja ngaphandle. _ bathe bekumakhaza kakhulu phandle. UWilliam U-Ian,"When he got a puppy, William wanted the dog to sleep in a crate. Ian said it should have a kennel outside. _ said it was too cold outside. William Ian","Wathi akufumana injana, uWilliam wafuna ukuba inja ilale ekhrethini. U-Ian uthe kufuneka ibe nendlwana ngaphandle. _ yathi kwakubanda kakhulu phandle. UWilliam Ian",She used to get herself a puppy. William wanted the dog to sleep in the crate. Ian said there must be a dog house outside. _ they said it was very cold outside. William Ian,"When he got the puppy, William wanted the dog to sleep in the crate. Ian said it should have a cabin outside. _ said it was very cold outside. William Ian",0.07547169811320756,0.4888888888888889,0.65625,0.6875,0.07547169811320756,0.4888888888888889,0.65625,0.6875,0.20006444240079066,0.5580486330023305,0.5768855007367643,0.656315126330013
test,U Laura waya apho bekudekwe khona ukutya watya ngokugeza ngethuba u Rebecca watya i suphu yodwa. _ wadinga okunye ukutya ethubeni. U Laura u Rebecca,Laura went to the buffet and stuffed themselves silly while Rebecca had only soup. _ needed another meal a while later. Laura Rebecca,ULaura waya kwi-buffet waza wazihlohla ngobubhanxa ngelixa uRebecca wayenesuphu kuphela. _ bendifuna esinye isidlo emva kwexesha. Laura Rebecca,Laura went to where the food was laid out and ate madly while Rebecca ate the soup alone. _ he needed more food later. Laura is Rebecca,Laura went to the buffet and stuffed herself silly while Rebecca only had soup. _ I wanted another meal later. Laura Rebecca,0.17391304347826086,0.14285714285714288,0.4999999999999999,0.4680851063829788,0.17391304347826086,0.14285714285714288,0.4999999999999999,0.4680851063829788,0.2151735766497683,0.34607677194725883,0.4651231301015577,0.43426105669081805
