split,translation,original_line,google_translation,backtranslation,google_translation_backtranslation,rouge1_translation_vs_original,rouge1_translation_vs_google_translate,rouge1_backtranslation_vs_original,rouge1_backtranslation_vs_google_translate_backtranslation,rougeL_translation_vs_original,rougeL_translation_vs_google_translate,rougeL_backtranslation_vs_original,rougeL_backtranslation_vs_google_translate_backtranslation,chrF_translation_vs_original,chrF_translation_vs_google_translate,chrF_backtranslation_vs_original,chrF_backtranslation_vs_google_translate_backtranslation
test,URandy wayengabuthandi ubuchwepheshe ngokungafani noDennis ngakho _ uhlala enolwazi ngokufunda amaphephandaba aku inthanethi. URandy UDennis,Randy did not like technology unlike Dennis so _ stayed informed through reading online newspapers. Randy Dennis,URandy wayengabuthandi ubuchwepheshe ngokungafani noDennis ngakho _ wahlala enolwazi ngokufunda amaphephandaba aku-inthanethi. Randy Dennis,"Randy didn't like technology as much as Dennis, so _ he stays up to date by reading online newspapers. Randy Dennis",Randy didn't like technology unlike Dennis so _ he stayed informed by reading online newspapers. Randy Dennis,0.0,0.7857142857142857,0.5945945945945946,0.7894736842105262,0.0,0.7857142857142857,0.5945945945945946,0.7894736842105262,0.20889190485726614,0.8939515382854656,0.6386224728080795,0.7335626716195426
test,"Inkolo yama Bhuda ayimukhangi uChristine, lapho uTanya ufuna ukwazi ngayo nakuba _ engowomoya kakhulu. uChristine uTanya","Buddhism doesn't appeal to Christine, while Tanya is curious about it, even though _ is more spiritual. Christine Tanya","UbuBuddha abumkhangi uChristine, kuyilapho uTanya efuna ukwazi ngakho, nakuba _ engokomoya kakhulu. UChristine Tanya","Buddhism does not appeal to Christine, which Tanya wants to know about even though _ she is very spiritual. Christine Tanya","Buddhism does not appeal to Christine, while Tanya is curious about it, even though _ she is very spiritual. Christine Tanya",0.0,0.42857142857142855,0.6153846153846154,0.8000000000000002,0.0,0.42857142857142855,0.6153846153846154,0.8000000000000002,0.25844288088426465,0.6280760509491908,0.6659745723151795,0.8007707726912715
test,"Ukunciphisa ukufudumala kwembulunga yonke kwakuyisisekelo sobunikazi bukaBetty, futhi uKayla wayenelukuluku lokufunda okwengeziwe ngale ndaba, ngakho _ welula isimemo sokuthamela ingqungquthela yendawo yezemvelo. bukaBetty uKayla","To reduce global warming was central to Betty's identity, and Kayla was curious about learning more about the subject, so _ extended an invitation to attend a local environmental conference. Betty Kayla","Ukunciphisa ukufudumala kwembulunga yonke kwakuyisisekelo sobunikazi bukaBetty, futhi uKayla wayenelukuluku lokufunda okwengeziwe ngalesi sihloko, ngakho-ke _ wadlulisela isimemo sokuhambela ingqungquthela yendawo yendawo. Shwi noMtekhala","Mitigation of global warming was at the heart of Betty's identity, and Kayla was curious to learn more about the subject, so she extended an invitation to attend a local environmental conference. of Betty Kayla","Mitigation of global warming was at the core of Betty's identity, and Kayla was curious to learn more about the topic, so _ she extended an invitation to attend a local conference. Shwi and Mtekhala",0.0,0.6808510638297872,0.823529411764706,0.8450704225352113,0.0,0.6808510638297872,0.7941176470588235,0.8450704225352113,0.1891723416176038,0.8099734662255527,0.7670887476136584,0.7645440303866972
test,"UNatalie wayeqikelela ukuthi angangezi noma yimaphi amantongomane anhlamvu eresiphi ayeyenzela uEmily, kodwa u _ ngephutha wavumela amantongomame anhlamvu ukuba awele endishini. UNatalie uEmily","Natalie was careful not to add any walnut extract to the recipe she was making for Emily, but then _ accidentally let some walnuts fall into the bowl. Natalie Emily","U-Natalie wayeqikelela ukuthi angafaki noma iyiphi i-walnut ekhishwe eresiphi ayeyenzela u-Emily, kodwa _ ngephutha wavumela ama-walnuts awela endishini. Natalie Emily","Natalie was careful not to add any peanuts to the recipe she was making for Emily, but _ accidentally let the peanuts fall into the bowl. Natalie Emily","Natalie was careful not to include any peeled walnuts in the recipe she was making for Emily, but she accidentally let the walnuts fall into the bowl. Natalie Emily",0.0,0.4444444444444445,0.8571428571428572,0.8214285714285715,0.0,0.4,0.8571428571428572,0.8214285714285715,0.2073943834485554,0.561306618599533,0.8513404578833503,0.817918808683789
test,"Ngenxa yokuthi uMichael wayebuthakathaka kunoCraig, _ waphakamisa izinsimbi ezilula ejimini. uMichael uCraig","Due to the fact that Michael was weaker than Craig, _ lifted lighter weights at the gym. Michael Craig","Ngenxa yokuthi uMichael wayebuthakathaka kunoCraig, _ uphakamise izinsimbi ezilula ejimini. UMichael Craig","Because Michael was weaker than Craig, _ he lifted light weights in the gym. Michael Craig","Because Michael was weaker than Craig, _ he lifted light weights in the gym. Michael Craig",0.0,0.8181818181818182,0.6666666666666666,1.0,0.0,0.8181818181818182,0.6666666666666666,1.0,0.2652207465521888,0.8434116254891908,0.7515222572036641,1.0
test,UDerrick wayengazi ukuthi angasilungiselela kanjani isiphepho ngokungafani noNeil ngoba _ wayehlala eduze nendawo yasogwini. UDerrick UNeil,Derrick was clueless on how to prepare for a hurricane unlike Neil because _ lived near the coastal area. Derrick Neil,UDerrick wayengazi ukuthi angasilungiselela kanjani isiphepho ngokungafani noNeil ngoba _ wayehlala eduze kwendawo egudle ugu. Derrick Neil,Derrick didn't know how to prepare for a storm unlike Neil because _ he lived near the coast. Derrick Neil,Derrick didn't know how to prepare for a storm unlike Neil because _ he lived near the coast. Derrick Neil,0.0,0.7096774193548386,0.7,1.0,0.0,0.7096774193548386,0.7,1.0,0.223025096884253,0.8367705367705667,0.6908580342811311,1.0
test,"Ibhawodi elisuka kumcibisholo langena kalula ezikhalini zeqhawe lasendulo, njengoba i _ yayiyithagethi enhle kakhulu. Ibhawodi izikhali","The bolt from the crossbow easily penetrated the knight's armor, as the _ was such a great target. bolt armor","Ibhawodi elivela ku-crossbow langena kalula ezimbathweni zempi zeqhawe, njengoba i-_ bekuyithagethi enkulu. izikhali zebhawodi","The bolt from the arrow easily penetrated the armor of the ancient warrior, as the _ was an excellent target. Bolt weapons","The bolt from the crossbow easily penetrated the warrior's armor, as the _ was a large target. bolt weapons",0.0,0.4666666666666667,0.6341463414634146,0.7500000000000001,0.0,0.4666666666666667,0.6341463414634146,0.7,0.10848357872345883,0.5241971284255452,0.5281353084867905,0.6195785289284453
test,UKylie wayefuna ukuba umhlaziyi weyiqubo yebhizinisi ngakho wagcwalisa isicelo somsebenzi kodwa i _ yayiyinde kakhulu. Umsebenzi Isicelo,Kylie wanted to become a business process analyst so he filled out the job application but the _ was too long. job application,UKylie wayefuna ukuba umhlaziyi wenqubo yebhizinisi ngakho wagcwalisa isicelo somsebenzi kodwa i-_ yayiyinde kakhulu. isicelo somsebenzi,Kylie wanted to be a business process analyst so she filled out a job application but the _ was too long. Job Application,Kylie wanted to be a business process analyst so she filled out a job application but the _ was too long. job application,0.0,0.875,0.8636363636363636,1.0,0.0,0.875,0.8636363636363636,1.0,0.16271969152458945,0.8806205782273735,0.8439581426241881,0.9373756848884591
test,UNeil wayenethezeke kakhulu kuno Lawrence ngoba _ wayenezikelemu ezizalela emzimbeni wakhe. UNeil ULawrence,Neil was more comfortable than Lawrence because _ had the pinworms nesting in their body. Neil Lawrence,U-Neil wayenethezeke kakhulu kuno-Lawrence ngoba _ izikelemu zazizalela emzimbeni wabo. Neil Lawrence,Neil was more comfortable than Lawrence because _ he had worms breeding in his body. Neil Lawrence,Neil was more comfortable than Lawrence because _ worms were breeding in their body. Neil Lawrence,0.07142857142857144,0.48000000000000004,0.75,0.8387096774193549,0.07142857142857144,0.48000000000000004,0.75,0.8387096774193549,0.2601770875245186,0.7227230505279584,0.7769250933570896,0.8106929606666052
test,Indoda yabeka i humidifier egumbini lokulala esikhundleni sekhishi ngoba _ umoya wawomile. Igumbi lokulala ikhishi,The man placed the humidifier in the bedroom instead of the kitchen because the _ air was dry. bedroom kitchen,Indoda yabeka umhwamuko ekamelweni esikhundleni sekhishi ngoba umoya _ womile. ikhishi lokulala,The man put a humidifier in the bedroom instead of the kitchen because _ the air was dry. Bedroom kitchen,The man put steam in the room instead of the kitchen because the air _ was dry. bedroom kitchen,0.06060606060606061,0.64,0.8947368421052632,0.8648648648648649,0.06060606060606061,0.56,0.8947368421052632,0.8648648648648649,0.18690885687281522,0.5552940489132195,0.8275850837529521,0.6874867524754248
